,simbolo,apariciones
0,"('192.168.2.100', '133.100.9.2')",1986.0
1,"('192.168.2.100', '192.36.144.22')",1986.0
2,"('192.168.0.122', '169.254.255.255')",3335.0
3,"('192.168.2.100', '128.138.140.44')",1985.0
4,"('192.168.0.219', '169.254.169.254')",84.0
5,"('192.168.0.1', '192.168.0.220')",137.0
6,"('192.168.0.220', '192.168.0.1')",137.0
7,"('192.168.0.1', '192.168.0.11')",106.0
8,"('192.168.0.1', '192.168.0.177')",106.0
9,"('192.168.0.1', '192.168.0.191')",106.0
10,"('192.168.0.219', '192.168.0.122')",2.0
11,"('192.168.0.219', '192.168.0.1')",2.0
12,"('0.0.0.0', '192.168.0.219')",3.0
13,"('192.168.0.219', '192.168.0.219')",1.0
14,"('192.168.0.1', '192.168.0.226')",24.0
